price,brand,ram,ram_type,display_size,display_type,pixels,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,hdd,ssd,OS,weight,cpu_point,gpu_point,fingerprint_reader,web_camera
1979.0,ASUS,16.0,DDR5,17.3,QHD,3686400.0,240.0,IPS,395.0,282.0,23.4,AMD,NVIDIA,0.0,1000.0,WINDOWS,2.8,34357.0,10610.0,1.0,0.0
2739.0,ASUS,16.0,DDR5,17.3,QHD,3686400.0,240.0,IPS,395.0,282.0,23.4,AMD,NVIDIA,0.0,2000.0,WINDOWS,2.8,34357.0,11933.0,1.0,0.0
899.0,DELL,16.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,235.56,16.96,INTEL,INTEL,1000.0,512.0,WINDOWS,1.73,7885.0,1435.0,0.0,1.0
2599.99,ASUS,64.0,DDR4,15.6,FHD,2073600.0,300.0,IPS,355.0,260.0,22.6,AMD,NVIDIA,0.0,4000.0,WINDOWS,2.3,13081.0,11441.0,1.0,0.0
1039.99,DELL,16.0,DDR4,14.0,FHD+,2304000.0,60.0,IPS,314.0,227.5,15.7,AMD,AMD,0.0,1000.0,WINDOWS,1.73,10523.0,1129.0,1.0,0.0
550.0,LENOVO,12.0,DDR4,14.0,FHD,2073600.0,60.0,IPS,327.1,241.0,19.9,INTEL,INTEL,0.0,256.0,WINDOWS,1.5,5002.0,1097.0,1.0,0.0
1099.0,LENOVO,16.0,LPDDR4X,16.0,WUXGA,2304000.0,60.0,IPS,357.8,253.9,18.7,AMD,AMD,0.0,1000.0,WINDOWS,2.1,8919.0,1129.0,1.0,0.0
1269.99,HP,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.0,242.0,17.9,INTEL,INTEL,0.0,1000.0,WINDOWS,1.7,9933.0,1435.0,0.0,1.0
769.0,HP,8.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.0,242.0,17.9,INTEL,INTEL,0.0,256.0,WINDOWS,1.7,5002.0,1097.0,0.0,1.0
779.99,DELL,12.0,DDR4,15.6,FHD,2073600.0,60.0,IPS,358.5,235.56,17.5,INTEL,INTEL,0.0,512.0,WINDOWS,1.73,5002.0,1097.0,1.0,0.0
