Product Name,Product Link,Processor,Internal memory,Video card,Display,Solid-state drive,Price,Hard drive
MSI Stealth 15,https://laptopmedia.com/laptop-specs/msi-stealth-15-6/,Intel Core i7-13620H,16GB RAM,"NVIDIA GeForce RTX 4060 (Laptop, 90W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$174900,
Lenovo Yoga 9i 14,https://laptopmedia.com/laptop-specs/lenovo-yoga-9i-14-291/,Intel Core i7-1260P,16GB RAM,Intel Iris Xe Graphics G7 (96EU),"14.0"", 4K UHD (3840 x 2400), OLED",2000GB SSD,$259900,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-3060/,Intel Core i3-1115G4,36GB RAM,Intel UHD Graphics Xe G4 (48EU),"15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$90999,
Acer Aspire 5,https://laptopmedia.com/laptop-specs/acer-aspire-5-2969/,AMD Ryzen 3 3350U,20GB RAM,"AMD Radeon RX Vega 6 (R2000/3000, 15W)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$63999,
HP 14,https://laptopmedia.com/laptop-specs/hp-14-5081/,AMD Ryzen 3 3250U,16GB RAM,AMD Radeon RX Vega 3,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,$54999,
MSI Katana 15,https://laptopmedia.com/laptop-specs/msi-katana-15-49/,Intel Core i7-13620H,16GB RAM,"NVIDIA GeForce RTX 4070 (Laptop, 105W)","15.6”, Full HD (1920 x 1080), 144 Hz, IPS",1000GB SSD,$182999,
Lenovo ThinkPad E15 Gen 4,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e15-gen-4-356/,AMD Ryzen 5 5625U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",2000GB SSD,$99900,
Lenovo ThinkPad E15 Gen 4,https://laptopmedia.com/laptop-specs/lenovo-thinkpad-e15-gen-4-355/,AMD Ryzen 5 5625U,40GB RAM,"AMD Radeon RX Vega 7 (R4000/5000, 15W)","15.6”, Full HD (1920 x 1080), IPS",1000GB SSD,$94900,
Lenovo IdeaPad 3 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-3-15-4218/,Intel Core i3-1215U,16GB RAM,"Intel UHD Graphics (Alder Lake, 64EU)","15.6”, Full HD (1920 x 1080), IPS",512GB SSD,$47900,
Lenovo IdeaPad 1 15,https://laptopmedia.com/laptop-specs/lenovo-ideapad-1-15-293/,Intel Pentium Silver N6000,12GB RAM,Intel UHD Graphics (Jasper Lake 32 EU),"15.6”, Full HD (1920 x 1080), IPS",128GB SSD,$39999,
