price,brand,ram,ram_type,display_size,display_type,resolution,screen_rate,screen_panel,length,width,height,cpu_brand,gpu_brand,ssd,os,weight,cpu_point,gpu_point,features
729.99,ASUS,8.0,LPDDR4X,14.0,2.8K,2880 x 1800,90.0,OLED,313.6,220.6,16.9,INTEL,INTEL,256.0,WINDOWS,1.39,9469.0,1097.0,FINGERPRINT READER
749.99,ACER,12.0,DDR4,15.6,FHD,1920 x 1080,,IPS,363.22,251.46,18.03,AMD,AMD,128.0,WINDOWS,1.8,,787.0,FINGERPRINT READER
7679.0,MSI,64.0,DDR4,15.6,FHD,1920 x 1080,144.0,IPS,358.0,267.0,23.4,INTEL,NVIDIA,8000.0,WINDOWS,2.38,12390.0,,FINGERPRINT READER
1149.99,HP,32.0,DDR4,17.3,FHD,1920 x 1080,,IPS,400.0,257.8,20.6,INTEL,INTEL,512.0,WINDOWS,2.05,5125.0,1435.0,WEB CAMERA
1689.99,LG,16.0,LPDDR5,16.0,WQXGA,2560 x 1600,,IPS,354.58,242.06,16.76,INTEL,INTEL,1000.0,WINDOWS,1.19,9933.0,1435.0,FINGERPRINT READER
949.99,HP,64.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.0,242.0,19.0,INTEL,INTEL,2000.0,WINDOWS,1.7,7916.0,1097.0,FINGERPRINT READER
1042.47,HP,16.0,DDR4,15.6,HD,1366 x 768,,TN,358.5,242.0,17.9,AMD,AMD,256.0,WINDOWS,1.74,1839.0,451.0,WEB CAMERA
2299.0,LENOVO,16.0,DDR4,17.3,4K UHD,3840 x 2160,,IPS,415.44,280.81,24.31,INTEL,NVIDIA,512.0,WINDOWS,3.67,12390.0,5294.0,FINGERPRINT READER
825.0,HP,8.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.9,229.1,18.54,AMD,AMD,256.0,WINDOWS,1.7,10523.0,1129.0,FINGERPRINT READER
1144.99,LENOVO,64.0,DDR4,17.3,FHD,1920 x 1080,144.0,IPS,398.6,290.0,24.3,AMD,NVIDIA,512.0,WINDOWS,2.98,9513.0,,FINGERPRINT READER
1379.0,HP,8.0,DDR4,17.3,FHD,1920 x 1080,,IPS,400.0,257.8,20.6,INTEL,NVIDIA,1000.0,WINDOWS,2.05,5002.0,2140.0,WEB CAMERA
479.0,HP,12.0,DDR4,15.6,HD,1366 x 768,,TN,358.0,242.0,17.9,INTEL,INTEL,512.0,WINDOWS,1.7,3056.0,,WEB CAMERA
949.0,HP,16.0,DDR4,14.0,FHD,1920 x 1080,,IPS,325.1,216.6,17.0,AMD,AMD,512.0,WINDOWS,1.41,10523.0,1129.0,FINGERPRINT READER
899.0,LENOVO,20.0,DDR4,15.6,FHD,1920 x 1080,,TN,359.2,236.5,19.9,AMD,AMD,1000.0,WINDOWS,1.65,7135.0,914.0,FINGERPRINT READER
979.99,HP,16.0,DDR4,15.6,FHD,1920 x 1080,,IPS,358.9,229.1,18.54,INTEL,INTEL,512.0,WINDOWS,1.7,7885.0,1435.0,FINGERPRINT READER
1709.99,LENOVO,64.0,DDR4,15.6,FHD,1920 x 1080,120.0,IPS,359.6,266.4,21.8,INTEL,NVIDIA,2000.0,WINDOWS,2.31,15486.0,,FINGERPRINT READER
1849.99,MSI,64.0,DDR5,15.6,FHD,1920 x 1080,144.0,IPS,359.0,259.0,24.9,INTEL,NVIDIA,2000.0,WINDOWS,2.25,13001.0,12022.0,FINGERPRINT READER
1034.99,HP,32.0,DDR4,17.3,FHD,1920 x 1080,,IPS,400.0,257.8,20.6,INTEL,INTEL,1000.0,WINDOWS,2.05,7885.0,1435.0,WEB CAMERA
6279.99,ASUS,64.0,DDR5,16.0,WQXGA,2560 x 1600,240.0,IPS,354.0,264.0,22.6,INTEL,NVIDIA,8000.0,WINDOWS,2.5,30647.0,19414.0,FINGERPRINT READER
1689.0,HP,64.0,DDR4,17.3,HD+,1600 x 900,,TN,400.7,257.8,19.9,AMD,AMD,128.0,WINDOWS,2.38,7135.0,914.0,FINGERPRINT READER
1089.99,DELL,32.0,DDR4,14.0,FHD,1920 x 1080,,IPS,321.5,211.35,16.32,AMD,AMD,1000.0,WINDOWS,1.65,8919.0,1129.0,FINGERPRINT READER
2789.99,ASUS,16.0,DDR4,17.3,FHD,1920 x 1080,,IPS,399.3,254.3,19.8,AMD,AMD,8000.0,WINDOWS,2.1,12472.0,1204.0,FINGERPRINT READER
2099.0,ASUS,16.0,DDR5,16.0,FHD,1920 x 1080,165.0,IPS,354.0,264.0,22.6,INTEL,NVIDIA,1000.0,WINDOWS,2.5,,10610.0,FINGERPRINT READER
1179.99,LENOVO,32.0,DDR5,15.6,FHD,1920 x 1080,120.0,IPS,356.6,266.4,21.8,AMD,NVIDIA,512.0,WINDOWS,2.32,13862.0,,FINGERPRINT READER
929.99,LENOVO,12.0,DDR4,15.6,FHD,1920 x 1080,,TN,365.0,240.0,18.9,INTEL,INTEL,256.0,WINDOWS,1.7,7916.0,1097.0,FINGERPRINT READER
2259.0,MSI,32.0,DDR4,17.3,FHD,1920 x 1080,360.0,IPS,398.0,273.0,24.2,INTEL,NVIDIA,4000.0,WINDOWS,2.66,15486.0,,FINGERPRINT READER
